AÑO,MES,PAISDESTINO,REGIONORIGEN,PUNTODECONTROL,ADUANA,CODARANCELARIO,SECTOR,PRODUCTOGRAL,PRODUCTO,MONTOFOB(US$),PESOTONELADAS,anio,REGIONSALIDA,VIATRANSPORTE,PUERTOEMBARQUE,MONTOFOB,TIPOOPERACION,CLASIFICACION
2018,Enero,China,O'Higgins,Lirquén,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,84344.0,23.04,2018,,,,,,
2018,Enero,China,O'Higgins,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,3172399.24,699.0586,2018,,,,,,
2018,Enero,China,O'Higgins,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,15478107.56,3273.0435,2018,,,,,,
2018,Enero,China,O'Higgins,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,19508461.37,3997.0316,2018,,,,,,
2018,Enero,China,O'Higgins,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,44653831.64,8637.38658,2018,,,,,,
2018,Enero,China,O'Higgins,San Antonio,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,62700.02,21.344,2018,,,,,,
2018,Enero,China,O'Higgins,San Vicente,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,77405.0,21.344,2018,,,,,,
2018,Enero,China,O'Higgins,San Vicente,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,675601.28,152.2282,2018,,,,,,
2018,Enero,China,O'Higgins,San Vicente,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,1030031.0,196.38,2018,,,,,,
2018,Enero,China,O'Higgins,Valparaíso,Valparaíso,8092190,No minero,Frutas y frutos,Cerezas,145448.0,44.16,2018,,,,,,
2018,Enero,China,O'Higgins,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,13013261.93,3271.8974,2018,,,,,,
2018,Enero,China,O'Higgins,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,67212458.58,13135.39824,2018,,,,,,
2018,Enero,China,O'Higgins,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,94283228.79,18237.04303,2018,,,,,,
2018,Enero,China,O'Higgins,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,111513898.89,21859.51504,2018,,,,,,
2018,Enero,China,Valparaíso,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,53175.4,9.989,2018,,,,,,
2018,Enero,China,Valparaíso,Lirquén,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,55100.51,21.888,2018,,,,,,
2018,Enero,China,Valparaíso,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,185700.0,42.688,2018,,,,,,
2018,Enero,China,Valparaíso,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,1027988.26,200.4264,2018,,,,,,
2018,Enero,China,Valparaíso,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,1213770.04,264.4248,2018,,,,,,
2018,Enero,China,Valparaíso,San Vicente,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,125448.13,20.3136,2018,,,,,,
2018,Enero,China,Valparaíso,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,317291.94,62.912,2018,,,,,,
2018,Enero,China,Valparaíso,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,2423666.88,471.0032,2018,,,,,,
2018,Enero,China,Valparaíso,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,2203142.75,544.7043,2018,,,,,,
2018,Enero,China,Valparaíso,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,7204656.96,1412.1416,2018,,,,,,
2018,Enero,China,Valparaíso,Valparaíso,Valparaíso,8092990,No minero,Frutas y frutos,Cerezas,110400.0,40.48,2018,,,,,,
2018,Enero,Chipre,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,2529.4,0.53,2018,,,,,,
2018,Enero,Colombia,El Maule,Valparaíso,Valparaíso,8121090,No minero,Frutas y frutos,Cerezas,31200.0,37.1,2018,,,,,,
2018,Enero,Colombia,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,74294.2,17.703,2018,,,,,,
2018,Enero,Colombia,O'Higgins,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,5426.88,3.96,2018,,,,,,
2018,Enero,Colombia,O'Higgins,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,69613.81,40.8536,2018,,,,,,
2018,Enero,Colombia,O'Higgins,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,15000.0,6.64852,2018,,,,,,
2018,Enero,Colombia,O'Higgins,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,88523.0,22.2624,2018,,,,,,
2018,Enero,Colombia,Valparaíso,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,11040.0,3.2016,2018,,,,,,
2018,Enero,Colombia,Valparaíso,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,6756.18,2.64,2018,,,,,,
2018,Enero,Corea del Sur,Biobío,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,13059.0,3.434,2018,,,,,,
2018,Enero,Corea del Sur,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,20092.44,4.176,2018,,,,,,
2018,Enero,Corea del Sur,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,39866.7,4.908,2018,,,,,,
2018,Enero,Corea del Sur,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,84411.2,16.34649,2018,,,,,,
2018,Enero,Corea del Sur,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,362448.57,46.872,2018,,,,,,
2018,Enero,Corea del Sur,El Maule,Lirquén,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,145728.0,22.08,2018,,,,,,
2018,Enero,Corea del Sur,El Maule,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,248612.0,43.248,2018,,,,,,
2018,Enero,Corea del Sur,El Maule,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,825670.62,131.686,2018,,,,,,
2018,Enero,Corea del Sur,El Maule,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,106395.2,21.12,2018,,,,,,
2018,Enero,Corea del Sur,El Maule,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,118656.0,21.312,2018,,,,,,
2018,Enero,Corea del Sur,El Maule,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,223503.07,33.506,2018,,,,,,
2018,Enero,Corea del Sur,El Maule,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,311123.08,66.24,2018,,,,,,
2018,Enero,Corea del Sur,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,42082.0,6.952,2018,,,,,,
2018,Enero,Corea del Sur,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,170471.08,27.39,2018,,,,,,
2018,Enero,Corea del Sur,Metropolitana,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,120734.0,21.344,2018,,,,,,
2018,Enero,Corea del Sur,Metropolitana,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,466250.0,69.6,2018,,,,,,
2018,Enero,Corea del Sur,Metropolitana,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,121486.8,21.2952,2018,,,,,,
2018,Enero,Corea del Sur,Metropolitana,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,169000.0,23.2,2018,,,,,,
2018,Enero,Corea del Sur,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,167498.0,28.284,2018,,,,,,
2018,Enero,Corea del Sur,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,236842.87,42.705,2018,,,,,,
2018,Enero,Corea del Sur,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,306788.05,57.581,2018,,,,,,
2018,Enero,Corea del Sur,O'Higgins,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,453776.9,89.4832,2018,,,,,,
2018,Enero,Corea del Sur,O'Higgins,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,608506.0,114.3245,2018,,,,,,
2018,Enero,Corea del Sur,O'Higgins,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,1149015.95,193.566,2018,,,,,,
2018,Enero,Corea del Sur,O'Higgins,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,1673225.87,313.1052,2018,,,,,,
2018,Enero,Corea del Sur,O'Higgins,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,128582.08,24.0,2018,,,,,,
2018,Enero,Corea del Sur,O'Higgins,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,887175.8,146.298,2018,,,,,,
2018,Enero,Corea del Sur,O'Higgins,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,1563324.52,282.276,2018,,,,,,
2018,Enero,Costa Rica,Atacama,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,7166.07,2.208,2018,,,,,,
2018,Enero,Costa Rica,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,1674.0,0.623,2018,,,,,,
2018,Enero,Costa Rica,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,4816.0,1.315,2018,,,,,,
2018,Enero,Costa Rica,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,9562.4,2.15,2018,,,,,,
2018,Enero,Costa Rica,O'Higgins,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,15240.0,7.488,2018,,,,,,
2018,Enero,Ecuador,Atacama,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,74590.94,50.4,2018,,,,,,
2018,Enero,Ecuador,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,3600.0,1.383,2018,,,,,,
2018,Enero,Ecuador,El Maule,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,84720.0,45.3692,2018,,,,,,
2018,Enero,Ecuador,El Maule,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,204840.0,159.5872,2018,,,,,,
2018,Enero,Ecuador,Metropolitana,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,74400.0,62.436,2018,,,,,,
2018,Enero,Ecuador,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,7310.34,1.394,2018,,,,,,
2018,Enero,Ecuador,O'Higgins,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,177600.0,159.84,2018,,,,,,
2018,Enero,Ecuador,O'Higgins,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,263541.4,204.16,2018,,,,,,
2018,Enero,Ecuador,O'Higgins,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,855497.3,605.5928,2018,,,,,,
2018,Enero,Ecuador,Valparaíso,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,119306.79,50.88,2018,,,,,,
2018,Enero,Ecuador,Valparaíso,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,126131.3,91.52,2018,,,,,,
2018,Enero,El Salvador,Atacama,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,2160.0,0.72,2018,,,,,,
