AÑO,MES,PAISDESTINO,ADUANA,PESOTONELADAS,REGIONSALIDA,VIATRANSPORTE,PUERTOEMBARQUE,MONTOFOB,PRECIO_KG
2020,Enero,Corea del Sur,San Antonio,22.08,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,134355.0,6.08491847826087
2020,Enero,Corea del Sur,San Antonio,41.676,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,239206.32,5.739665994817161
2020,Enero,Corea del Sur,San Antonio,40.032,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,248582.54,6.209595823341328
2020,Enero,Corea del Sur,San Antonio,44.16,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,256100.0,5.799365942028986
2020,Enero,Corea del Sur,San Antonio,166.0476,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,1056104.31,6.360250373989146
2020,Enero,Corea del Sur,Valparaíso,12.9804,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,74494.0,5.73896027857385
2020,Enero,Corea del Sur,Valparaíso,41.216,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,273204.06,6.628592294254658
2020,Enero,Corea del Sur,Valparaíso,42.688,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,332218.0,7.782468140929534
2020,Enero,Corea del Sur,Valparaíso,64.768,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,466985.21,7.210122437005929
2020,Enero,Corea del Sur,Valparaíso,108.192,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,660121.2,6.101386424134871
2020,Enero,Corea del Sur,Valparaíso,104.1106,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,756286.0,7.264255512887257
2020,Enero,Corea del Sur,Valparaíso,131.672,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,841232.98,6.388852451546267
2020,Enero,Corea del Sur,Valparaíso,258.0855,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,1731297.3,6.708231574420104
2020,Enero,Corea del Sur,Valparaíso,305.4656,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,1949716.21,6.382768501592324
2020,Enero,Costa Rica,San Antonio,1.208,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,3480.0,2.8807947019867552
2020,Enero,Ecuador,San Antonio,4.928,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,9184.0,1.8636363636363638
2020,Enero,Ecuador,San Antonio,12.32,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,15591.44,1.2655389610389611
2020,Enero,Ecuador,San Antonio,22.6346,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,43848.99,1.9372549106235586
2020,Enero,Ecuador,San Antonio,24.96,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,45555.0,1.825120192307692
2020,Enero,Ecuador,San Antonio,26.202,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,52404.0,1.9999999999999998
2020,Enero,Ecuador,San Antonio,39.4352,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,65154.0,1.6521787641497951
2020,Enero,Ecuador,San Antonio,51.128,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,72657.38,1.4210878579252073
2020,Enero,Ecuador,San Antonio,49.92,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,108000.0,2.1634615384615388
2020,Enero,Ecuador,San Antonio,120.052,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,210034.86,1.7495323693066336
2020,Enero,Ecuador,San Antonio,490.9196,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,915004.21,1.8638575644565831
2020,Enero,España,Los Andes,1.3288,Valparaíso,Carretero y Terrestre,Cristo Redentor (Los Libertadores),7676.49,5.777009331727874
2020,Enero,España,Los Andes,5.664,Valparaíso,Carretero y Terrestre,Cristo Redentor (Los Libertadores),33574.27,5.927660663841808
2020,Enero,España,Los Andes,11.64,Valparaíso,Carretero y Terrestre,Cristo Redentor (Los Libertadores),65675.21,5.642200171821306
2020,Enero,España,Los Andes,16.956,Valparaíso,Carretero y Terrestre,Cristo Redentor (Los Libertadores),81470.86,4.804839584807738
2020,Enero,España,Los Andes,23.2652,Valparaíso,Carretero y Terrestre,Cristo Redentor (Los Libertadores),132866.52,5.7109554183931355
2020,Enero,España,San Antonio,19.482,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,57937.0,2.9738733189610924
2020,Enero,España,Valparaíso,18.864,Valparaíso,"Marítima, Fluvial y Lacustre",Valparaíso,143703.18,7.617853053435114
2020,Enero,Estados Unidos de América,San Antonio,32.3008,Valparaíso,"Marítima, Fluvial y Lacustre",San Antonio,100439.6,3.109508123637805
