AÑO,MES,PAISDESTINO,REGIONORIGEN,PUNTODECONTROL,ADUANA,MONTOFOB(US$),PESOTONELADAS,REGIONSALIDA,VIATRANSPORTE,PUERTOEMBARQUE,MONTOFOB
2018,Enero,Estados Unidos de América,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,327798.03,77.647,,,,
2018,Enero,Estados Unidos de América,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,469421.08,114.87086,,,,
2018,Enero,Estados Unidos de América,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,616512.1,148.391,,,,
2018,Enero,Estados Unidos de América,O'Higgins,Caldera,Chañaral,484118.04,156.6417,,,,
2018,Enero,Estados Unidos de América,O'Higgins,Coquimbo,Coquimbo,33825.52,7.424,,,,
2018,Enero,Estados Unidos de América,O'Higgins,Coquimbo,Coquimbo,72096.94,20.976,,,,
2018,Enero,Estados Unidos de América,O'Higgins,Cristo Redentor (Los Libertadores),Los Andes,454720.0,129.5952,,,,
2018,Enero,Estados Unidos de América,O'Higgins,San Antonio,San Antonio,54400.0,16.32,,,,
2018,Enero,Estados Unidos de América,O'Higgins,San Antonio,San Antonio,44714.36,22.08,,,,
2018,Enero,Estados Unidos de América,O'Higgins,San Antonio,San Antonio,153600.0,46.08,,,,
2018,Enero,Estados Unidos de América,O'Higgins,Valparaíso,Valparaíso,557852.16,109.8598,,,,
2018,Enero,Estados Unidos de América,O'Higgins,Valparaíso,Valparaíso,1086981.05,419.3009,,,,
2018,Enero,Estados Unidos de América,O'Higgins,Valparaíso,Valparaíso,1354604.26,440.48899,,,,
2018,Enero,Estados Unidos de América,O'Higgins,Valparaíso,Valparaíso,2741353.37,1057.52493,,,,
2018,Enero,Estados Unidos de América,Sin Región,Aerop. A. Merino Benítez,Metropolitana,60.0,0.03,,,,
2018,Enero,Estados Unidos de América,Valparaíso,Aerop. A. Merino Benítez,Metropolitana,143801.0,34.993,,,,
2018,Enero,Estados Unidos de América,Valparaíso,Valparaíso,Valparaíso,45190.84,30.456,,,,
2018,Enero,Estados Unidos de América,Valparaíso,Valparaíso,Valparaíso,163777.65,44.184,,,,
2018,Enero,Estados Unidos de América,Valparaíso,Valparaíso,Valparaíso,399034.5,79.7172,,,,
2018,Enero,Filipinas,Coquimbo,Aerop. A. Merino Benítez,Metropolitana,12935.2,1.338,,,,
2018,Enero,Filipinas,El Maule,Aerop. A. Merino Benítez,Metropolitana,22277.45,3.481,,,,
2018,Enero,Filipinas,El Maule,Aerop. A. Merino Benítez,Metropolitana,14899.2,3.203,,,,
2018,Enero,Filipinas,El Maule,Aerop. A. Merino Benítez,Metropolitana,26184.3,3.424,,,,
2018,Enero,Filipinas,El Maule,Aerop. A. Merino Benítez,Metropolitana,46646.46,5.526,,,,
2018,Enero,Filipinas,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,4915.2,0.704,,,,
2018,Enero,Filipinas,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,116354.24,15.159,,,,
2018,Enero,Filipinas,O'Higgins,Valparaíso,Valparaíso,65040.0,11.52,,,,
2018,Enero,Francia,Biobío,Aerop. A. Merino Benítez,Metropolitana,9938.64,3.36,,,,
2018,Enero,Francia,El Maule,Aerop. A. Merino Benítez,Metropolitana,44870.31,12.288,,,,
2018,Enero,Francia,El Maule,Aerop. A. Merino Benítez,Metropolitana,63175.09,14.96741,,,,
2018,Enero,Francia,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,-252.43,1.226,,,,
2018,Enero,Francia,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,23890.1,3.784,,,,
2018,Enero,Francia,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,3349.0,0.689,,,,
2018,Enero,Francia,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,2400.08,0.688,,,,
2018,Enero,Francia,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,9074.12,1.432,,,,
2018,Enero,Francia,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,21105.78,12.18975,,,,
2018,Enero,Francia,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,135066.36,16.31974,,,,
2018,Enero,Francia,O'Higgins,Cristo Redentor (Los Libertadores),Los Andes,105381.14,13.872,,,,
2018,Enero,Grecia,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,5371.8,0.732,,,,
2018,Enero,Guatemala,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,3192.1,0.568,,,,
2018,Enero,Guatemala,O'Higgins,San Antonio,San Antonio,12144.0,3.312,,,,
2018,Enero,Guatemala,O'Higgins,Valparaíso,Valparaíso,10560.0,3.6,,,,
2018,Enero,Guatemala,O'Higgins,Valparaíso,Valparaíso,6720.0,4.608,,,,
2018,Enero,Honduras,O'Higgins,Valparaíso,Valparaíso,5375.96,1.152,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),El Maule,Aerop. A. Merino Benítez,Metropolitana,9842.41,1.435,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),El Maule,Valparaíso,Valparaíso,64000.96,23.016,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),El Maule,Valparaíso,Valparaíso,344795.39,65.36,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),Metropolitana,Aerop. A. Merino Benítez,Metropolitana,15360.0,2.768,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),Metropolitana,Aerop. A. Merino Benítez,Metropolitana,56744.85,7.356,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),Metropolitana,Valparaíso,Valparaíso,78599.97,22.9904,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),Metropolitana,Valparaíso,Valparaíso,226600.0,46.4,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),Metropolitana,Valparaíso,Valparaíso,246665.15,88.4,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),Metropolitana,Valparaíso,Valparaíso,269041.48,107.20912,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),O'Higgins,Aerop. A. Merino Benítez,Metropolitana,12900.73,1.411,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),O'Higgins,Valparaíso,Valparaíso,530167.58,112.5122,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),O'Higgins,Valparaíso,Valparaíso,456292.79,152.39798,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),O'Higgins,Valparaíso,Valparaíso,1491859.82,418.4352,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),O'Higgins,Valparaíso,Valparaíso,6830692.55,1373.1434,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),Valparaíso,Valparaíso,Valparaíso,68881.33,20.976,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),Valparaíso,Valparaíso,Valparaíso,44935.79,21.588,,,,
2018,Enero,Hong Kong (Región administrativa especial de China),Valparaíso,Valparaíso,Valparaíso,529564.8,146.624,,,,
2018,Enero,India,Biobío,Aerop. A. Merino Benítez,Metropolitana,5122.2,0.709,,,,
